Serial_number,Brand_name,Price,DiscountPrice,Quantity,gender,age
1266,Fresho,168.49,129.74,1 kg,female,65
1267,Fresho,1278,643,Combo,female,65
1268,Sunfeast,150,106.5,253 g,female,65
1269,Tasties,80,58.67,2x60 g,female,65
1270,Tasties,40,32,60 g,female,65
1271,BB Royal,319,237.5,Combo,female,65
1272,Himalaya,140,101,100 ml,female,65
1273,Himalaya,235,192.7,200 ml,female,65
1274,Himalaya,470,359.69,2x200 ml,female,65
1275,Himalaya,75,63,50 ml,female,65
1276,BB Royal,649,422.51,Combo,female,65
1277,Himalaya Baby,200,144,200 ml,female,65
1278,Himalaya Baby,425,310.5,500 ml,female,65
1279,Sugarlite,99,50,500 g,female,65
1280,Sugarlite,198,65,2x500 g,female,65
1281,Sugarlite,30,30,100 g,female,65
1282,Parachute Advansed,670,317.3,2x400 ml,female,65
1283,Parachute Advansed,335,167,400 ml,female,65
1284,Mother's Recipe ,145,100,500 g,female,65
1285,Fresho,55,44,100 g,female,65
1286,Fresho,260,240,500 g,female,65
1287,Maybelline New York,199,155,1.7 g,female,65
1288,Maybelline New York,199,145,1.7 g,female,65
1289,BB Royal,100,70,1 kg,female,65
1290,Axe,560,307.99,2x154 ml,female,65
1291,Axe,280,196,154 ml,female,65
1292,Axe,370,355.2,200 ml,female,65
1293,Fiama,225,146.5,250 ml,female,65
1294,Fiama,449,305.5,500 ml,female,65
1295,Eastern,65,65,100 g,female,65
1296,Eastern,160,120,250 g,female,65
1297,BB Royal,40,29,100 g,female,65
1298,BB Royal,80,57,200 g,female,65
1299,BB Royal,200,140,500 g,female,65
1300,Axe,225,146.25,100 ml,female,65
1301,Fresho Signature,305,198.99,Combo,female,65
1302,Palmolive,1078,673,Combo,female,65
1303,Huggies,2498,1511.04,2x52 pcs,female,65
1304,Huggies,1249,787,52 pcs,female,65
1305,Lakme,475,327.75,9 ml,female,65
1306,Lakme,400,320,9 ml,female,65
1307,Fresho,1653,931,Combo,female,65
1308,Super Saver,35,26,500 g,female,65
1309,Super Saver,70,48,1 kg,female,65
1310,Fiama,91,77.35,125 g,female,65
1311,Fiama,295,221.25,125 g,female,65
1312,Cavins,120,89.28,3x200 ml,female,65
1313,Cavins,40,31,200 ml,female,65
1314,Cavins,240,186,6x200 ml,female,65
1315,BB Royal,55,35,200 g,female,65
1316,BB Royal,220,165,1 kg,female,65
1317,Dove,1209,746,Combo,female,65
1318,Vinayak,399,159,300 ml,female,65
1319,Rexona,145,108.75,50 ml,female,65
1320,Rexona,290,188.51,2x50 ml,female,65
1321,Himalaya,95,71.25,250 ml,female,65
1322,Super Saver,120,85,1 kg,female,65
1323,Super Saver,60,44,500 g,female,65
1324,GoodDiet,365,239,250 ml,female,65
1325,GoodDiet,665,389,500 ml,female,65
1326,BB Royal,50,28,50 g,female,65
1327,BB Royal,100,54,100 g,female,65
1328,BB Royal,200,108,200 g,female,65
1329,BB Royal,650,458.05,2x500 g,female,65
1330,BB Royal,325,259.02,500 g,female,65
1331,Mamaearth,798,523.32,2x400 ml,female,65
1332,Mamaearth,199,133,200 ml,female,65
1333,Mamaearth,399,267,400 ml,female,65
1334,Disano,198,99,500 g,female,65
1335,Colgate,495,324.69,Combo,female,65
1336,Super Saver,190,137,1 kg,female,65
1337,Super Saver,380,270,2 kg,female,65
1338,Super Saver,95,70,500 g,female,65
1339,Super Saver,42,29,200 g,female,65
1340,Syska,987,253.65,3x1 pc,female,65
1341,Syska,329,89,1 pc,female,65
1342,BB Royal,120,80,1 kg,female,65
1343,BB Royal,25,20,200 g,female,65
1344,BB Royal,60,45,500 g,female,65
1345,HappyChef,370,182.38,2x500 g,female,65
1346,HappyChef,185,99,500 g,female,65
1347,BB Royal,250,165,100 g,female,65
1348,BB Royal,500,299,200 g,female,65
1349,BB Royal,149,110,1 kg,female,65
1350,BB Royal,76,57,500 g,female,65
1351,GoodDiet,185,109,150 g,female,65
1352,BB Royal,630,425.64,Combo,female,65
1353,Fresho Signature,65,49,50 g,female,65
1354,Fresho Signature,130,93.1,2x50 g,female,65
1355,Fresho Signature,195,149,150 g,female,65
1356,Clinic Plus,115,115,175 ml,female,65
1357,Clinic Plus,230,218.5,340 ml,female,65
1358,Clinic Plus,525,345.5,650 ml,female,65
1359,Dove,950,692,Combo,female,65
1360,Energizer,90,49,2 pcs,female,65
1361,Energizer,180,95.06,2 x 2 pcs,female,65
1362,BB Popular,750,472,500 g,female,65
1363,BB Popular,150,96,100 g,female,65
1364,BB Popular,1500,940,1 kg,female,65
1365,BB Popular,300,190,200 g,female,65
1366,Britannia,5,5,27 g,female,65
1367,Britannia,10,10,64 g,female,65
1368,Britannia,140,70,400 g,female,65
1369,Dukes,50,25,60 g,female,65
1370,Cavins,120,77.76,3x200 ml,female,65
1371,Cavins,40,27,200 ml,female,65
1372,Cavins,240,162,6x200 ml,female,65
1373,Lakme,325,227.5,50 ml,female,65
1374,Lakme,525,367.5,100 ml,female,65
1375,Tasties,147,111,3x150 g,female,65
1376,Tasties,294,211.02,6x150 g,female,65
1377,Tasties,12,12,60 g,female,65
1378,Tasties,49,38,150 g,female,65
1379,BB Home Earth,179,129,410 ml,female,65
1380,Fresho,1194,777.5,Combo,female,65
1381,Lakme,125,83.75,9 ml,female,65
1382,Organic Tattva,55,38.5,500 g,female,65
1383,BB Home Earth,349,249,850 ml,female,65
1384,Garnier Men,450,337.5,2x100 g,female,65
1385,Garnier Men,325,211.25,150 g,female,65
1386,Garnier Men,650,401.38,2x150 g,female,65
1387,Garnier Men,225,180,100 g,female,65
1388,Fresho,1289,927,Combo,female,65
1389,bb Combo,300,211.2,Combo,female,65
1390,GLENAND,190,142.5,350 g,female,65
1391,GLENAND,70,52.5,75 g,female,65
1392,GLENAND,140,105,250 g,female,65
1393,Lindberg,545,349,120 g 12 pcs,female,65
1394,Olay,189,141,40 g,female,65
1395,Olay,99,74.25,20 g,female,65
1396,Happilo,775,581.25,500 g,female,65
1397,Ponds,360,234,250 ml,female,65
1398,Ponds,45,43.2,25 ml,female,65
1399,Tedemi,1809,1199,1.2 L,female,65
1400,Fresho Signature,119,79,250 ml,female,65
1401,BB Home,599,349,3.2 L,female,65
1402,Tasties,49,36,150 g,female,65
1403,Tasties,294,181.02,6x150 g,female,65
1404,Tasties,147,105,3x150 g,female,65
1405,Britannia,675,501.39,Combo,female,65
1406,Keya,140,70,400 g,female,65
1407,Keya,280,133,2x400 g,female,65
1408,Vaseline,140,133.5,100 ml,female,65
1409,Vaseline,449,291.85,400 ml,female,65
1410,Aashirvaad,90,72,1 kg,female,65
1411,Aashirvaad,50,40,500 g,female,65
1412,BB Royal,320,225,200 g,female,65
1413,BB Royal,160,115,100 g,female,65
1414,BB Royal,780,567,Combo,female,65
1415,Ponds,155,116.25,35 g,female,65
1416,BB Home Earth,179,109,380 ml,female,65
1417,BB Royal,55,46.75,100 g,female,65
1418,BB Royal,169,102,200 g,female,65
1419,BB Royal,259,225,500 g,female,65
1420,Nivea,548,328.8,600 ml,female,65
1421,GoodDiet,215,109,250 g,female,65
1422,GoodDiet,385,190,500 g,female,65
1423,Livon Serum,160,112,50 ml,female,65
1424,Livon Serum,350,248,100 ml,female,65
1425,Britannia,710,525.94,Combo,female,65
1426,Gillette,385,288,3 pcs,female,65
1427,Dukes,60,30,60 g,female,65
1428,Himalaya Baby,950,665,54 pcs,female,65
1429,Himalaya,150,150,9 pcs,female,65
1430,Himalaya,1275,1211.25,76 pcs,female,65
1431,Lakme,475,308.75,200 ml,female,65
1432,Lakme,140,105,60 ml,female,65
1433,Lakme,280,182,120 ml,female,65
1434,Pantene,645,364.5,650 ml,female,65
1435,Pantene,820,516.6,1 L,female,65
1436,Pantene,145,130.5,180 ml,female,65
1437,Pantene,305,274.5,340 ml,female,65
1438,Pantene,65,65,75 ml,female,65
1439,BB Royal,120,80,200 g,female,65
1440,Livon Serum,70,70,20 ml,female,65
1441,Livon Serum,170,150,50 ml,female,65
1442,Livon Serum,315,227.5,100 ml,female,65
1443,Cavins,120,82.56,Combo,female,65
1444,Saffola,1125,839,5 L,female,65
1445,Laplast,431,149,6 pcs,female,65
1446,Park avenue,750,449.98,2x220 ml,female,65
1447,Park avenue,750,449.98,2x220 ml,female,65
1448,Park avenue,375,262.5,220 ml,female,65
1449,Kitchen Essentials,615,399,6 pcs,female,65
1450,Herbal Essence,600,390,400 ml,female,65
1451,Herbal Essences,350,268,240 ml,female,65
1452,BB Royal,48,36,500 g,female,65
1453,BB Royal,80,66,1 kg,female,65
1454,GoodDiet,19,17,30 g,female,65
1455,GoodDiet,95,61.92,5x30 g,female,65
1456,Dukes,50,25,60 g,female,65
1457,Princeware,185,99,490 ml,female,65
1458,BB Home Earth,489,349,210 ml,female,65
1459,Lifebuoy,119,89,750 ml,female,65
1460,Lifebuoy,357,253.52,3x750 ml,female,65
1461,Fresho Signature,65,49,50 g,female,65
1462,Fresho Signature,119,89,150 g,female,65
1463,Fresho Signature,130,93.1,2x50 g,female,65
1464,HappyChef,149,99,30 ml,female,65
1465,bb Combo,1608,947,Combo,female,65
1466,Tasties,89,59,150 g,female,65
1467,Tasties,267,170.01,3x150 g,female,65
1468,Tasties,534,336,6x150 g,female,65
1469,Tasties,178,115,2x150 g,female,65
1470,BB Royal,50,34,500 g,female,65
1471,Ariel,499,374.25,357 g,female,65
1472,Ariel,825,618.75,635.2 g,female,65
1473,Garnier,225,199,125 ml,female,65
1474,Garnier,375,279,400 ml,female,65
1475,Dukes,180,67.5,250 g,female,65
1476,Dukes,300,150,300 g,female,65
1477,Lakme,105,84,65 g,female,65
1478,Lakme,360,234,250 g,female,65
1479,Lakme,180,126,100 g,female,65
1480,Fresho,1178,758.5,Combo,female,65
1481,Aashirvaad,22,16.5,1 kg,female,65
1482,BB Royal,750,560,Combo,female,65
1483,Fresho,80.52,57.5,1 kg,female,65
1484,Fresho,20.13,14.5,250 g,female,65
1485,Dove,725,530,650 ml,female,65
1486,Dove,185,185,180 ml,female,65
1487,Dove,340,295,340 ml,female,65
1488,Catch,90,72,100 g,female,65
1489,Catch,26,18.2,25 g,female,65
1490,Catch,50,40,50 g,female,65
1491,Catch,100,78.8,2x50 g,female,65
1492,Huggies,949,674,52 pcs,female,65
1493,Huggies,1898,1294.08,2x52 pcs,female,65
1494,Huggies,470,470,30 pcs,female,65
1495,Fresho,1123,720,Combo,female,65
1496,Dukes,50,25,60 g,female,65
1497,Fresho,1133,727,Combo,female,65
1498,BB Royal,475,359,5 kg,female,65
1499,BB Royal,96,72,1 kg,female,65
1500,BB Royal,849,649,10 kg,female,65
1501,BB Royal,950,718,2x5 kg,female,65
1502,Fair And Handsome ,155,105,60 g,female,65
1503,Fair And Handsome ,85,80,30 g,female,65
1504,Axe,370,355.2,200 ml,female,65
1505,Axe,560,280.01,2x154 ml,female,65
1506,Axe,280,196,154 ml,female,65
1507,Gillette,90,85,50 g,female,65
1508,Gillette,199,169,196 g,female,65
1509,Fresho,1133,727,Combo,female,65
1510,Too Yumm!,50,30,70 g,female,65
1511,Too Yumm!,100,60,2x75 g,female,65
1512,Dabur Vatika,525,297.5,640 ml,female,65
1513,Dabur Vatika,699,524.25,1 L,female,65
1514,Super Saver,80,59,500 g,female,65
1515,Fresho,1313,853,Combo,female,65
1516,Colgate,465,314.4,Combo,female,65
1517,Pantene,145,130,200 ml,female,65
1518,Pantene,305,274.5,400 ml,female,65
1519,Pantene,645,364.5,650 ml,female,65
1520,Pantene,65,54.5,90 ml,female,65
1521,Fresho,1258,814.5,Combo,female,65
1522,BB Royal,80,55,100 g,female,65
1523,BB Royal,160,125,200 g,female,65
1524,Fresho,1195,859,1 kg,female,65
1525,Fresho,628,451,500 g,female,65
1526,Fresho,332,239,250 g,female,65
1527,Mee Mee,299,238,300 ml,female,65
1528,Mee Mee,799,584,1.5 L,female,65
1529,Mee Mee,649,454.5,1.2 L,female,65
1530,Mee Mee,399,313.5,500 ml,female,65
1531,Raw Pressery,420,298,Combo,female,65
1532,bb Combo,748,448.13,Combo,female,65
1533,Lever Ayush,183,130,150 g,female,65
1534,Lever Ayush,50,50,80 g,female,65
1535,Lever Ayush,100,86,150 g,female,65
1536,Sunfeast,65,51.5,150 g,female,65
1537,Sunfeast,195,131.32,3x150 g,female,65
1538,Raw Pressery,850,637.5,2x1 L,female,65
1539,Raw Pressery,300,240,2x250 ml,female,65
1540,Raw Pressery,425,361.25,1 L,female,65
1541,Raw Pressery,150,150,250 ml,female,65
1542,Raw Pressery,750,750,5x250 ml,female,65
1543,Raw Pressery,600,600,4x250 ml,female,65
1544,Raw Pressery,450,450,3x250 ml,female,65
1545,Sanjay ,50,50,100 g,female,65
1546,BB Home,49,19,1 L,female,65
1547,BB Home,118,54.52,2 x 1.5 L,female,65
1548,BB Home,59,29,1.5 L,female,65
1549,BB Home,98,35.72,2 x 1 L,female,65
1550,Fresho,396,284,500 g,female,65
1551,Fresho,221,159,250 g,female,65
1552,Yardley London,900,704,4x150 ml,female,65
1553,Yardley London,675,372.72,3x150 ml,female,65
1554,Yardley London,225,176,150 ml,female,65
1555,Yardley London,450,269.17,2x150 ml,female,65
1556,GoodDiet,210,115,6x30 g,female,65
1557,GoodDiet,389,249,350 g,female,65
1558,GoodDiet,35,25,30 g,female,65
1559,BB Home,349,149,20 L,female,65
1560,BB Home,299,129,17 L,female,65
1561,Tasties,147,105.66,Combo,female,65
1562,Mirabelle,357,134.52,3 x 5 pcs,female,65
1563,Mirabelle,119,59,5 pcs,female,65
1564,Himalaya,79,67,50 ml,female,65
1565,Himalaya,140,101,100 ml,female,65
1566,Nivea,275,228,200 ml,female,65
1567,Nivea,425,285,400 ml,female,65
1568,Lakme,150,112.5,4.5 g,female,65
1569,Super Saver,90,65,500 g,female,65
1570,Super Saver,180,127,1 kg,female,65
1571,Unibic,180,120.6,6x75 g,female,65
1572,Unibic,55,46.75,150 g,female,65
1573,Unibic,30,24,75 g,female,65
1574,Unibic,90,67.5,3x75 g,female,65
1575,Super Saver,120,119,1 kg,female,65
1576,Super Saver,120,69,500 g,female,65
1577,Super Saver,53,29,200 g,female,65
1578,Disano,2700,1296,5 L,female,65
1579,Kvg,169,109,1 pc,female,65
1580,HappyChef,165,89,450 g,female,65
1581,BB Royal,400,185,500 g,female,65
1582,Cadbury Oreo,20,20,60 g,female,65
1583,Cadbury Oreo,40,32,120 g,female,65
1584,Cadbury Oreo,120,83.52,3x120 g,female,65
1585,Cadbury Oreo,80,60.16,2x120 g,female,65
1586,Cadbury,70,61.6,150 g,female,65
1587,Cadbury,210,166.32,3X150 g,female,65
1588,Cadbury,140,115.81,2x150 g,female,65
1589,Cadbury,420,314.16,6X150 g,female,65
1590,Fendo,1719,499,1 pc,female,65
1591,Pantene,835,502,Combo,female,65
1592,Maybelline New York,249,167,3 g,female,65
1593,HAZEL,489,229,1 pc,female,65
1594,Savlon,495,349.07,3x170 g,female,65
1595,Savlon,330,232.72,2x170 g,female,65
1596,Savlon,165,141.9,170 g,female,65
1597,Unibic,300,210,75 g,female,65
1598,BB Royal,800,515,10 kg,female,65
1599,BB Royal,400,261,5 kg,female,65
1600,BB Royal,80,54,1 kg,female,65
1601,Pears,210,130.5,250 ml,female,65
1602,Lakme,399,279.3,200 ml,female,65
1603,Lakme,99,84.15,60 ml,female,65
1604,Lakme,199,139.3,120 ml,female,65
1605,BB Royal,199,179,200 g,female,65
1606,BB Royal,320,198,2x100 g,female,65
1607,BB Royal,160,99,100 g,female,65
1608,Lakme,349,247.79,30 g,female,65
1609,Cadbury,205,131.96,Combo,female,65
1610,Klassic,349,189,1 pc,female,65
1611,Ponds,275,192.5,50 g,female,65
1612,Ponds,85,85,23 g,female,65
1613,Tasties,147,103.96,Combo,female,65
1614,Palmolive,629,471,750 ml,female,65
1615,Palmolive,279,224,250 ml,female,65
1616,Nakoda,1903,1299,1 pc,female,65
1617,Macclite,895,399,1 L,female,65
1618,BB Popular,50,22,500 g,female,65
1619,BB Popular,100,41,1 kg,female,65
1620,BB Popular,200,78,2 kg,female,65
1621,Lakme,150,108,4.5 g,female,65
1622,Fresho,485,349,500 g,female,65
1623,GoodDiet,19,17,30 g,female,65
1624,GoodDiet,95,61.92,5x30 g,female,65
1625,Catch,148,108.79,Combo,female,65
1626,Domex,102,102,500 ml,female,65
1627,Domex,215,155,1 L,female,65
1628,BB Royal,475,339,5 kg,female,65
1629,BB Royal,96,69,1 kg,female,65
1630,BB Royal,950,678,2x5 kg,female,65
1631,BB Royal,875,649,10 kg,female,65
1632,Super Saver,310,230,Combo,female,65
1633,Cadbury,198,152.28,2x175.5 g,female,65
1634,Cadbury,99,81,175.5 g,female,65
1635,Cadbury,297,213.84,3x175.5 g,female,65
1636,Paper Boat,390,221.76,1 L,female,65
1637,Paper Boat,260,151.2,2x1 L,female,65
1638,Paper Boat,130,84,1 L,female,65
1639,Fogg ,275,193,150 ml,female,65
1640,Fogg ,550,334.55,2x150 ml,female,65
1641,Himalaya,440,302.1,Combo,female,65
1642,STOREHAUS,399,199,2 pcs,female,65
1643,Santoor,209,194.37,625 g,female,65
1644,Santoor,285,213.75,125 g,female,65
1645,Head & shoulders,425,382.5,340 ml,female,65
1646,Head & shoulders,899,584.5,650 ml,female,65
1647,Head & shoulders,225,202,180 ml,female,65
1648,Head & shoulders,999,649.5,1 L,female,65
1649,Himalaya Baby,1025,710,54 pcs,female,65
1650,Himalaya,165,165,9 pcs,female,65
1651,Himalaya,1450,1015.5,74 pcs,female,65
1652,Fresho,193,139,250 g,female,65
1653,Fresho,605,435,1 kg,female,65
1654,BIOTIQUE,280,204,190 ml,female,65
1655,BIOTIQUE,560,379.68,2 x 190 ml,female,65
1656,BB Royal,199,152.04,1 kg,female,65
1657,BB Royal,398,274.07,2x1 kg,female,65
1658,BB Royal,150,96,100 g,female,65
1659,BB Royal,300,190,200 g,female,65
1660,BB Royal,750,472,500 g,female,65
1661,Fresho,81.82,44,1 pc,female,65
1662,Super Saver,70,45,1 kg,female,65
1663,Super Saver,35,24,500 g,female,65
1664,Hygienix,25,20,50 ml,female,65
1665,Hygienix,250,125,500 ml,female,65
1666,Hygienix,100,78.4,4x50 ml,female,65
1667,Hygienix,150,116.4,6x50 ml,female,65
1668,Hygienix,200,154.4,8x50 ml,female,65
1669,Hygienix,200,135.1,4x100 ml,female,65
1670,Hygienix,300,202.65,6x100 ml,female,65
1671,Hygienix,50,35,100 ml,female,65
1672,HappyChef,370,182.38,2x500 g,female,65
1673,HappyChef,185,99,500 g,female,65
1674,Bauli,20,13.4,50 g,female,66
1675,Sofit ,435,316.35,3x1 L,female,66
1676,Sofit ,290,215.34,2x1 L,female,66
1677,Sofit ,145,111,1 L,female,66
1678,bb Combo,215,159,Combo,female,66
1679,Liril,210,130.5,250 ml,female,66
1680,Liril,390,351,750 ml,female,66
1681,Ponds,549,384.3,35 g,female,66
1682,Ponds,120,115.2,10 g,female,66
1683,Cadbury Oreo,140,86.27,Combo,female,66
1684,Unibic,30,24,75 g,female,66
1685,Unibic,60,48,2x75 g,female,66
1686,Unibic,90,67.5,3x75 g,female,66
1687,Unibic,180,120.6,6x75 g,female,66
1688,Unibic,120,96,4x75 g,female,66
1689,Elite,10,6.5,35 g,female,66
1690,Elite,40,40,140 g,female,66
1691,Princeware,410,179,975 ml,female,66
1692,Tasties,110,66.5,2x200 g,female,66
1693,Tasties,55,35,200 g,female,66
1694,Super Saver,405,299,Combo,female,66
1695,Lotus Herbals,260,195,100 g,female,66
1696,Lotus Herbals,155,116.25,50 g,female,66
1697,Himalaya,380,266,700 g,female,66
1698,Bio-Oil,490,431,60 ml,female,66
1699,Bio-Oil,1200,784,200 ml,female,66
1700,Bio-Oil,790,592,125 ml,female,66
1701,Bio-Oil,980,818.9,2x60 ml,female,66
1702,Bio-Oil,2400,1463.41,2x200 ml,female,66
1703,Bio-Oil,1470,1228.35,3x60 ml,female,66
1704,Kelloggs,745,429,1 kg,female,66
1705,Set Wet,100,65,100 ml,female,66
1706,Set Wet,50,35,50 ml,female,66
1707,BB Royal,125,75,50 g,female,66
1708,BB Royal,250,148,100 g,female,66
1709,Slurrp Farm,129,122.55,192 g,female,66
1710,Slurrp Farm,387,269.55,3x192 g,female,66
1711,Colgate,208,150.5,400 g,female,66
1712,Colgate,456,365,200 g,female,66
1713,MTR,25,18.75,60 g,female,66
1714,GoodDiet,270,188.99,2x65 g,female,66
1715,GoodDiet,135,99,65 g,female,66
1716,GoodDiet,540,345,4x65 g,female,66
1717,Ponds,825,600.5,50 g,female,66
1718,Ponds,275,206.25,20 g,female,66
1719,Fiama,449,341,550 ml,female,66
1720,Fiama,225,151,250 ml,female,66
1721,AKSHAYAKALPA,51,35.7,500 g,female,66
1722,Parachute Advansed,90,58.5,100 g,female,66
1723,Engage,225,168,120 ml,female,66
1724,Engage,450,231,2x120 ml,female,66
1725,Layerr,430,322.5,2x135 ml,female,66
1726,Layerr,215,161.25,135 ml,female,66
1727,Nippo,170,129,10 pcs,female,66
1728,Nippo,340,237.36,2 x 10 pcs,female,66
1729,Fresho,12.86,9.5,100 g,female,66
1730,Moov,199,179.1,50 g,female,66
1731,Moov,290,208.5,80 g,female,66
1732,GoodDiet,109,79,150 g,female,66
1733,HAZEL,3439,3439,5 pcs,female,66
1734,GoodDiet,19,17,30 g,female,66
1735,GoodDiet,95,61.92,5x30 g,female,66
1736,Engage,660,363,3x150 ml,female,66
1737,Engage,440,286,2x150 ml,female,66
1738,Engage,220,176,150 ml,female,66
1739,Fresho Signature,95,75,50 g,female,66
1740,Fresho Signature,265,189,150 g,female,66
1741,Fresho Signature,190,142.5,2x50 g,female,66
1742,HappyChef,229,149,220 ml,female,66
1743,Elite,35,35,200 g,female,66
1744,Elite,10,10,63 g,female,66
1745,Elite,20,20,108 g,female,66
1746,Elite,50,37.5,300 g,female,66
1747,Too Yumm!,30,25.5,70 g,female,66
1748,Too Yumm!,50,30,90 g,female,66
1749,Too Yumm!,20,17,45 g,female,66
1750,Engage,450,225,2x150 ml,female,66
1751,Engage,225,157.5,150 ml,female,66
1752,Lakme,825,618.75,9 g,female,66
1753,Wingreens Farms,199,149.25,450 g,female,66
1754,Fresho,444,319,1 kg,female,66
1755,Fresho,263,189,500 g,female,66
1756,Fresho,151,109,250 g,female,66
1757,Pantene,929,470,1 L,female,66
1758,Pantene,385,346,340 ml,female,66
1759,Pantene,805,455,650 ml,female,66
1760,Pantene,180,148,180 ml,female,66
1761,BB Royal,375,199,1 kg,female,66
1762,BB Royal,649,389,2 kg,female,66
1763,BB Royal,200,105,500 g,female,66
1764,BB Royal,101,55,200 g,female,66
1765,Tasties,218,150.1,2x200 g,female,66
1766,Tasties,109,79,200 g,female,66
1767,Lakme,525,378,8 g,female,66
1768,Fresho,277,199,500 g,female,66
1769,Park avenue,210,147,125 g,female,66
1770,Mastercook,150,98,2 x 500 ml,female,66
1771,Mastercook,75,59,500 ml,female,66
1772,Huggies,749,562,50 pcs,female,66
1773,Huggies,1199,803.5,76 pcs,female,66
1774,Huggies,2398,1494.51,2x76 pcs,female,66
1775,Huggies,1498,1056.56,2x50 pcs,female,66
1776,Olay,399,299.25,10 g,female,66
1777,Olay,1699,1189,50 g,female,66
1778,Huggies,2499,1524.5,104 pcs,female,66
1779,Garnier Men,190,133,45 g,female,66
1780,Garnier Men,99,89.1,20 g,female,66
1781,Cadbury,145,108.75,500 g,female,66
1782,Cadbury,290,202.28,2x500 g,female,66
1783,GoodDiet,19,17,30 g,female,66
1784,GoodDiet,95,61.92,5x30 g,female,66
1785,Lizol,399,387.03,2 L,female,66
1786,Lizol,206,201.88,500 ml each,female,66
1787,Lizol,103,103,500 ml,female,66
1788,IndiSecrets,75,45,100 g,female,66
1789,Happilo,575,414,500 g,female,66
1790,Axe,560,336.01,2x154 ml,female,66
1791,Axe,280,182,154 ml,female,66
1792,Too Yumm!,50,30,70 g,female,66
1793,Too Yumm!,100,60,2x75 g,female,66
1794,BIOTIQUE,240,140.84,2 x 100 ml,female,66
1795,BIOTIQUE,120,78,100 ml,female,66
1796,BIOTIQUE,155,131.75,150 ml,female,66
1797,BB Royal,180,129,Combo,female,66
1798,Nivea Men,140,98,4.8 g,female,66
1799,BB Royal,260,181,Combo,female,66
1800,Olay,1798,1143.39,Combo,female,66
1801,Britannia,140,93.8,400 g,female,66
1802,HappyChef,590,435.1,2x200 g,female,66
1803,HappyChef,295,229,200 g,female,66
1804,BB Home,440,330,2x200 pulls,female,66
1805,BB Home,220,165,200 pulls,female,66
1806,Kitchen Essentials,525,275,1.5 L,female,66
1807,Himalaya,150,108,100 ml,female,66
1808,Himalaya,220,165,200 ml,female,66
1809,Savlon,319,188.21,1.5 L,female,66
1810,Lindberg,2725,1745,5x120 gm 12 pcs,female,66
1811,Lindberg,5450,3490,10x120 gm 12 pcs,female,66
1812,Lindberg,1090,663.1,2x120 gm 12 pcs,female,66
1813,BB Royal,120,80,100 g,female,66
1814,BB Royal,240,168,200 g,female,66
1815,Engage,660,369.6,3x150 ml,female,66
1816,Engage,220,154,150 ml,female,66
1817,Fresho,848,610,Combo,female,66
1818,Fogg ,550,257.35,2x150 ml,female,66
1819,Fogg ,275,193,150 ml,female,66
1820,BB Royal,200,140,100 g,female,66
1821,BB Royal,1000,685,500 g,female,66
1822,BB Royal,400,275,200 g,female,66
1823,Nivea,140,105,4.8 g,female,66
1824,Nivea Men,199,125.37,250 ml,female,66
1825,Nivea,510,304,Combo,female,66
1826,Durex,735,528,3x10's pack,female,66
1827,Durex,82,67.24,3 pcs,female,70
1828,Durex,245,200,10 pcs,female,70
1829,Olay,1999,1399,50 g,female,70
1830,BB Royal,349,199,200 g,female,70
1831,BB Royal,130,89,500 g,female,70
1832,Open Secret,105,78.75,75 g,female,70
1833,Liril,197,137,250 ml,female,70
1834,Liril,394,274,Pack of 2,female,70
1835,BB Royal,90,64,50 g,female,70
1836,HappyChef,189,139,350 g,female,70
1837,HappyChef,159,99,270 g,female,70
1838,Slurrp Farm,646,484.48,Combo,female,70
1839,Lakme,825,544.5,25 g,female,70
1840,Park avenue,170,124,180 ml,female,70
1841,Park avenue,260,169,350 ml,female,70
1842,Park avenue,650,325,650 ml,female,70
1843,Fresho,669,475,Combo,female,70
1844,Parachute Advansed,95,61.75,100 g,female,70
1845,Khadi Natural,80,56,125 g,female,70
1846,Keya,280,133,2x400 g,female,70
1847,Keya,140,70,400 g,female,70
1848,BB Royal,628,411.04,Combo,female,70
1849,Slurrp Farm,129,122.55,192 g,female,70
1850,Slurrp Farm,387,269.55,3x192 g,female,70
1851,Fresho,1164,800,Combo,female,70
1852,Yardley London,225,147,150 ml,female,70
1853,Yardley London,675,311.3,3x150 ml,female,70
1854,Yardley London,450,224.82,2x150 ml,female,70
1855,Unroll,179,134.25,320 g,female,70
1856,Olay,1399,1021,50 g,female,70
1857,Engage,450,211.19,2x120 ml,female,70
1858,Engage,225,144,120 ml,female,70
1859,Iveo ,450,249,1.1 L,female,70
1860,Fogg ,275,220,150 ml,female,70
1861,Fogg ,550,275,2x150 ml,female,70
1862,Dabur Vatika,699,524.25,1 L,female,70
1863,Dabur Vatika,445,267,640 ml,female,70
1864,Engage,450,209,2x120 ml,female,70
1865,Engage,225,152,120 ml,female,70
1866,Parachute Advansed,399,259,200 ml,female,70
1867,Fresho,1653,1183,Combo,female,70
1868,BB Home,170,124,2x50 pulls,female,70
1869,BB Home,85,62,50 pulls,female,70
1870,Rise N Shine,149,79,4 pcs,female,70
1871,Himalaya Baby,1150,805,1 pc,female,70
1872,Kesh King,499,324.35,600 ml,female,70
1873,Everyuth Naturals,225,180,200 g,female,70
1874,Everyuth Naturals,150,127,100 g,female,70
1875,Everyuth Naturals,450,336.19,300 g,female,70
1876,Everyuth Naturals,450,315,2x200 g,female,70
